avgDegree,stdDev,minDegree,maxDegree,paths,components,smallest comp,biggest comp,EBS EBD rs,EBS EBD p-value,EBS EBD jcc,EBD ER rs,EBD ER p-value,EBD ER jcc,EBS ER rs,EBS ER p-value,EBS ER jcc
0.02,19.67,4.3024527888170825,6,33,5470556,1,1000,1000,0.7869853978461153,0,0.2484076433121019,-0.5092736337644936,0,0.031578947368421054,-0.8566610154924311,0,0.015544041450777202
0.02,20.004,4.415652160213711,5,34,5641844,1,1000,1000,0.7895664778910475,0,0.25,-0.5221645500387433,0,0.08695652173913043,-0.8649318807997286,0,0.05263157894736842
0.02,19.966,4.579393409612239,6,37,5642718,1,1000,1000,0.7631713157770335,0,0.17159763313609466,-0.48375370706337817,0,0.05319148936170213,-0.8639699734186794,0,0.020618556701030927
0.02,20.138,4.548071679294423,6,36,5724630,1,1000,1000,0.7624449108867315,0,0.17647058823529413,-0.4880935895131646,0,0.0582010582010582,-0.87217954722622,0,0.010101010101010102
0.02,19.806,4.4741886415304375,9,35,5545766,1,1000,1000,0.779037985483329,0,0.2073170731707317,-0.5201762261146943,0,0.005076142131979695,-0.8710617829546708,0,0
0.03,30.174,5.428602398407906,15,52,11008066,1,1000,1000,0.7034145721621619,0,0.22448979591836735,-0.3571734820496728,0,0.010101010101010102,-0.7804659314836968,0,0
0.03,29.978,5.410870170314565,15,49,10891288,1,1000,1000,0.7022074967161192,0,0.1640625,-0.35121731982021487,0,0.017064846416382253,-0.7785408645838352,0,0
0.03,30.078,5.497082498926137,14,49,10931904,1,1000,1000,0.6883642759121676,0,0.11940298507462686,-0.34518552865711927,0,0.030927835051546393,-0.789297170198418,0,0
0.03,30.148,5.5794350968534445,17,51,10983478,1,1000,1000,0.7128494128891101,0,0.11524163568773234,-0.3669112093009812,0,0,-0.7868667176165667,0,0
0.03,29.992,5.406841591909273,14,47,10913564,1,1000,1000,0.6754737253395023,0,0.13740458015267176,-0.3239823953799632,0,0.027586206896551724,-0.7800380202227992,0,0
0.03,29.924,5.388155899749008,14,52,10861504,1,1000,1000,0.7014327005439074,0,0.15503875968992248,-0.3502667647430564,0,0.031141868512110725,-0.7784386841823736,0,0
0.03,29.396,5.422654700421188,13,52,10635534,1,1000,1000,0.6793320290403663,0,0.168,-0.3240308034898911,0,0.03546099290780142,-0.7913544597214415,0,0
0.03,30.362,5.5269300701202955,14,51,11062908,1,1000,1000,0.7043945244159048,0,0.12686567164179105,-0.3510914429241663,0,0.013422818791946308,-0.7720821220804217,0,0
0.03,29.988,5.577262410896599,11,47,10915900,1,1000,1000,0.6805349319216517,0,0.1037037037037037,-0.3277069092562124,0,0.03832752613240418,-0.7830170387333044,0,0
0.03,30.258,5.557466689058965,16,48,11040686,1,1000,1000,0.685918797148915,0,0.10622710622710622,-0.31948761708985374,0,0,-0.773040955760637,0,0
0.04,40.234,6.263963920713465,23,62,12986648,1,1000,1000,0.6030011397941855,0,0.18235294117647058,-0.1208946843311769,2.2688697535855014e-66,0.005,-0.2569101977855468,1.2315982437221313e-300,0
0.04,40.056,6.277170063014068,21,59,12959442,1,1000,1000,0.5898744575670237,0,0.14942528735632185,-0.08332213075316885,3.401059478825049e-32,0.017811704834605598,-0.2570743366240905,1.0422341145811229e-299,0.007556675062972292
0.04,40.094,6.268425958723614,20,60,12973950,1,1000,1000,0.6035655557797105,0,0.21212121212121213,-0.11779920389116372,7.147091651786524e-63,0.03896103896103896,-0.2468116720793676,6.1445093762405334e-276,0.012658227848101266
0.04,39.916,6.02552437552119,23,59,13074066,1,1000,1000,0.5827991167154876,0,0.18100890207715134,-0.10509644123208206,3.9687766467403007e-50,0.0025188916876574307,-0.28695543244965876,0,0
