Closeless;Further BFS;Random
nSamples;Expected MSE;MSE;Spearman Correlation;Jaccard 1%;Jaccard 5%;Expected MSE;MSE;Spearman Correlation;Jaccard 1%;Jaccard 5%;Expected MSE;MSE;Spearman Correlation;Jaccard 1%;Jaccard 5%
43;0.33953488372093027;0.02275;0.30512361932633963;0.9771937680618358;0.9771937680618358;0.04418604651162791;0.024124999999999994;NaN;0.9758485411280305;0.9758485411280305;0.020930232558139535;0.0247625;NaN;0.9752255900589485;0.9752255900589485;
45;0.3744444444444444;0.022174999999999997;NaN;0.9777582920131188;0.9777582920131188;0.043333333333333335;0.024149999999999998;NaN;0.9758238914174798;0.9758238914174798;0.035555555555555556;0.024374999999999997;NaN;0.9756040413365483;0.9756040413365483;
47;0.33404255319148934;0.0218125;0.35952279293493783;0.9781135221305274;0.9781135221305274;0.04361702127659576;0.024074999999999996;NaN;0.9758971927857218;0.9758971927857218;0.020212765957446813;0.024749999999999998;NaN;0.9752379790771545;0.9752379790771545;
50;0.36800000000000005;0.0207625;0.41063699845940227;0.9791463515786445;0.9791463515786445;0.038000000000000006;0.024200000000000006;NaN;0.9757753804487288;0.9757753804487288;0.027;0.0245;NaN;0.9754818798963448;0.9754818798963448;
52;0.33461538461538465;0.0209125;0.4059942459873848;0.9789979738442599;0.9789979738442599;0.032692307692307694;0.024300000000000002;NaN;0.9756770982299938;0.9756770982299938;0.02403846153846154;0.024575000000000003;NaN;0.9754086637946996;0.9754086637946996;
54;0.32407407407407407;0.021212500000000002;0.3906549220491919;0.9787029143488204;0.9787029143488204;0.03888888888888889;0.0241125;NaN;0.9758605451426865;0.9758605451426865;0.02592592592592593;0.0244875;NaN;0.9754942627351529;0.9754942627351529;
57;0.2991228070175438;0.021199999999999997;0.3922535446518763;0.9787151958788123;0.9787151958788123;0.04035087719298246;0.0239375;NaN;0.9760315292660126;0.9760315292660126;0.018421052631578946;0.024712500000000002;NaN;0.9752744557130262;0.9752744557130262;
60;0.29333333333333333;0.0208;0.4107056433307376;0.9791086165415993;0.9791086165415993;0.041666666666666664;0.023850000000000003;NaN;0.9761172757275869;0.9761172757275869;0.015;0.024749999999999998;NaN;0.9752379606630448;0.9752379606630448;
63;0.3253968253968254;0.020312500000000004;0.4321076284823734;0.9795886667675615;0.9795886667675615;0.02380952380952382;0.0244125;NaN;0.9755673141147254;0.9755673141147254;0.02222222222222222;0.024487499999999995;NaN;0.9754942140851902;0.9754942140851902;
66;0.28712121212121217;0.0199125;0.4527143396041523;0.9799817810799771;0.9799817810799771;0.03484848484848485;0.024049999999999995;NaN;0.975921482054741;0.975921482054741;0.025757575757575757;0.024362500000000002;NaN;0.9756162897625036;0.9756162897625036;
69;0.2898550724637681;0.019662500000000003;0.4613628323010109;0.9802289514243513;0.9802289514243513;0.038405797101449285;0.023774999999999998;NaN;0.9761905892246208;0.9761905892246208;0.023188405797101456;0.0244;NaN;0.9755797338140562;0.9755797338140562;
72;0.27013888888888893;0.019674999999999998;0.46245630504684315;0.9802161538234475;0.9802161538234475;0.033333333333333326;0.0238;NaN;0.9761661350454632;0.9761661350454632;0.031249999999999993;0.024;0.21331680482693136;0.9759703418280459;0.9759703418280459;
75;0.30200000000000005;0.018575;0.5067431292353146;0.9813019008946134;0.9813019008946134;0.039333333333333324;0.0236125;NaN;0.9763493861510087;0.9763493861510087;0.024666666666666663;0.024325;NaN;0.9756527785505213;0.9756527785505213;
79;0.30443037974683546;0.017875000000000002;0.5323823296825193;0.9819946680513532;0.9819946680513532;0.0310126582278481;0.0239375;NaN;0.9760316335860086;0.9760316335860086;0.018354430379746836;0.024462499999999998;NaN;0.9755186376110702;0.9755186376110702;
83;0.2704819277108434;0.018099999999999998;0.525462935022733;0.9817710500738611;0.9817710500738611;0.04216867469879518;0.02335;0.26300138535181616;0.9766063192159213;0.9766063192159213;0.021084337349397592;0.0242625;NaN;0.9757140884055091;0.9757140884055091;
87;0.2764367816091954;0.017550000000000003;0.5458938696975287;0.982315143474187;0.982315143474187;0.040804597701149414;0.0232875;0.27158962736633396;0.9766670839196006;0.9766670839196006;0.028735632183908046;0.02385;NaN;0.9761175636707325;0.9761175636707325;
91;0.2697802197802198;0.017150000000000002;0.5594225741674788;0.9827119845752706;0.9827119845752706;0.03021978021978022;0.023637500000000002;NaN;0.9763253919211085;0.9763253919211085;0.023076923076923075;0.024149999999999998;NaN;0.9758239829737675;0.9758239829737675;
95;0.27473684210526317;0.0165;0.5795977409923921;0.983358533957561;0.983358533957561;0.032105263157894734;0.0234375;0.25932067318982627;0.976520437913031;0.976520437913031;0.027368421052631566;0.0239125;NaN;0.9760560080802527;0.9760560080802527;
100;0.2585;0.016625;0.5774500858513351;0.9832325863441695;0.9832325863441695;0.037500000000000006;0.023275;0.26989816030805586;0.976679596094811;0.976679596094811;0.022500000000000006;0.023950000000000003;NaN;0.9760196235987252;0.9760196235987252;
104;0.25673076923076926;0.0161125;0.5945376215183706;0.9837412401412129;0.9837412401412129;0.03701923076923077;0.023150000000000004;0.2789066198059779;0.9768019474078515;0.9768019474078515;0.024519230769230772;0.0239125;0.22278204554865247;0.9760557634855282;0.9760557634855282;
109;0.24357798165137612;0.0156;0.6123487091658314;0.9842492129963732;0.9842492129963732;0.029357798165137616;0.0235;0.24986135367234755;0.9764597467606068;0.9764597467606068;0.023853211009174313;0.023875;NaN;0.9760930910685957;0.9760930910685957;
114;0.2605263157894737;0.0143375;0.6507027861381798;0.985507260105443;0.985507260105443;0.03815789473684211;0.0227375;0.3073272223993365;0.977205893987121;0.977205893987121;0.023684210526315787;0.023787499999999996;NaN;0.9761786165762035;0.9761786165762035;
